date,Crakehill,Skip Bridge,Westwick,Skelton,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme
27/12/1993,19.5,10.905,20.288,57.25,0,0,2.4,0
28/12/1993,20.2,8.21,19.05,52.94,10.4,16.8,22.4,11.6
29/12/1993,68.1,23.789,80.208,126.1,11.2,16,36.8,32
30/12/1993,83.7,33.541,68.586,190.7,16.8,14.4,67.2,39.2
31/12/1993,50.6,23.232,43.233,143.3,0,0,3.2,1.6
01/01/1994,29.4,14.507,30.518,91.94,0.8,1.6,1.6,6.4
02/01/1994,50.3,29.793,59.598,121.6,23.2,30.4,44,28.8
03/01/1994,97.5,41.468,100.103,203.2,9.6,50.4,49.6,43.2
04/01/1994,110,41.414,65.174,237.4,0,0,0.8,1.6
05/01/1994,74.7,31.2,44.384,186.5,17.6,36.8,43.2,25.6
06/01/1994,70.9,27.549,44.114,163.1,0,0,2.4,4.8
07/01/1994,55.1,19.77,33.786,127.4,0,2.4,0,1.6
08/01/1994,40.6,14.923,27.197,98.21,0,0.8,21.6,6.4
09/01/1994,37.4,11.518,39.131,86.6,7.2,7.2,32,12.8
10/01/1994,79.4,13.828,61.114,145.3,0,2.4,0.8,0
11/01/1994,47.6,13.94,37.754,113.6,5.6,5.6,16.8,11.2
12/01/1994,57.4,20.581,63.906,123,36,8.8,52,43.2
13/01/1994,101,24.82,84.93,186.3,31.2,4.8,9.6,26.4
14/01/1994,82.5,30.619,83.596,188.6,24.8,0,44,30.4
15/01/1994,57.5,24.088,50.788,157.1,0.8,7.2,0.8,0
16/01/1994,35.8,17.423,34.374,102.8,0,7.2,0,0
17/01/1994,26.1,15.201,26.039,80.08,0,2.4,0,0.8
18/01/1994,30.9,13.466,35.411,75.03,4,8,36,45.6
19/01/1994,52.2,12.411,49.843,118.3,0,0,0,0.8
20/01/1994,27.8,12.344,31.567,81.92,0,0,60,13.6
21/01/1994,24.8,11.902,31.704,71.77,0,0,16,6.4
22/01/1994,23.4,11.536,30.167,68.35,3.2,0,20,13.6
23/01/1994,42.2,21.786,76.299,112.7,19.2,2.4,54.4,48.8
24/01/1994,29.6,13.328,35.191,100.3,3.2,1.6,35.2,13.6
25/01/1994,42.8,24.058,86.144,111.6,31.2,5.6,97.6,62.4
26/01/1994,56.7,37.762,76.945,197.5,33.6,0.8,39.2,37.6
27/01/1994,123,40.076,139.745,229.3,52,49.6,46.4,44
28/01/1994,104,39.931,62.123,242.1,0,0,16.8,5.6
29/01/1994,50.2,22.394,62.298,153,4.8,0,21.2,30.8
30/01/1994,64.1,20.455,66.452,157.5,2.4,0,4,11.2
31/01/1994,33.6,16.612,38.178,105.6,1.6,0,0.8,4
